repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
Tsampaio_Docker-compose-mern,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,1,0,1,0
Universal-React-Redux-Node-Postgres-Portfolio,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,0
University_Thesis,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,Apps Code/master/docker-compose.yml,1,1,2,0
Uwadon1_dockerize-a-mern-stack-app,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
VEER0402_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
VarunTej06_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
WOS,mostly_correct,0.5000,1.0000,2,0,1,0,0,0,0,,0,0,0,0
ZUHAIRAHAMED3114_DockerComposeMern,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
abcofdevops_docker-compose-MERN-APP,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
abdihakim-said_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
ai-chatbot,correct,1.0000,1.0000,1,0,0,0,0,1,1,compose.yaml,1,0,1,0
aimablM_forever-store-deployment,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
alexanderley_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
amco-f22_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
app-react-node-ts-docker,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
aryakdube_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
ask-node-react-docker,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,0,0
asmryz_docker-compose-MERN,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
aswin0318_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
awais684_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
awalker7312_mern-docker-boilerplate,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
ayanjyoti17_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,MERN-docker-compose/docker-compose.yaml,2,2,0,0
azure-react-node-docker-cicd,correct,1.0000,1.0000,2,0,0,0,0,1,1,server/docker-compose.yml,1,0,1,0
balavi7_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
bezkoder_docker-mern-nginx,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
bill-splitter,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
bittush8789_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
bjnandi_ci-cd-pipeline-MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,0
bjnandi_containerize-full-stack-app-MERN-with-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,0
blackford,correct,1.0000,1.0000,1,0,0,0,0,1,1,Docker-compose.yml,1,1,1,1
book-review-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,0
